iter	Passed	Remaining
0	26	26395
1	49	24782
2	70	23306
3	92	22988
4	113	22533
5	144	23971
6	162	23039
7	183	22749
8	204	22494
9	244	24233
10	260	23451
11	286	23554
12	302	22999
13	326	23012
14	344	22622
15	369	22741
16	387	22401
17	434	23714
18	451	23329
19	476	23338
20	494	23064
21	521	23173
22	540	22954
23	565	23008
24	584	22800
25	603	22614
26	629	22693
27	661	22958
28	683	22890
29	706	22827
30	725	22665
31	750	22706
32	779	22855
33	797	22671
34	819	22595
35	842	22556
36	859	22360
37	913	23133
38	939	23154
39	976	23430
40	992	23225
41	1022	23314
42	1051	23395
43	1080	23472
44	1098	23314
45	1131	23459
46	1161	23548
47	1180	23410
48	1207	23431
49	1224	23272
50	1252	23315
51	1271	23172
52	1295	23145
53	1313	23005
54	1356	23305
55	1374	23173
56	1395	23094
57	1412	22935
58	1444	23031
59	1462	22917
60	1491	22955
61	1525	23071
62	1552	23087
63	1619	23691
64	1645	23677
65	1674	23695
66	1709	23800
67	1732	23746
68	1770	23890
69	1803	23955
70	1827	23914
71	1866	24053
72	1889	23988
73	1908	23881
74	1950	24054
75	1981	24086
76	2039	24447
77	2082	24611
78	2122	24745
79	2162	24863
80	2196	24922
81	2217	24822
82	2251	24872
83	2284	24914
84	2309	24862
85	2334	24808
86	2357	24738
87	2399	24869
88	2451	25088
89	2511	25398
90	2540	25376
91	2561	25282
92	2591	25274
93	2613	25184
94	2662	25359
95	2747	25869
96	2808	26146
97	2860	26327
98	2901	26408
99	2925	26333
100	2970	26439
101	2991	26337
102	3036	26447
103	3077	26515
104	3103	26454
105	3142	26503
106	3162	26391
107	3210	26513
108	3229	26397
109	3297	26678
110	3336	26724
111	3375	26762
112	3395	26650
113	3428	26647
114	3446	26520
115	3481	26529
116	3504	26445
117	3551	26544
118	3590	26578
119	3621	26557
120	3639	26440
121	3663	26368
122	3700	26381
123	3743	26442
124	3786	26508
125	3807	26408
126	3842	26414
127	3883	26458
128	3922	26485
129	3946	26408
130	4007	26583
131	4030	26506
132	4050	26405
133	4080	26371
134	4101	26280
135	4133	26258
136	4152	26154
137	4178	26102
138	4201	26023
139	4223	25945
140	4245	25863
141	4262	25755
142	4284	25676
143	4303	25583
144	4333	25553
145	4352	25460
146	4376	25397
147	4394	25296
148	4430	25303
149	4450	25217
150	4476	25166
151	4497	25093
152	4529	25076
153	4551	25005
154	4585	24996
155	4612	24955
156	4636	24892
157	4657	24821
158	4685	24782
159	4700	24679
160	4726	24628
161	4744	24542
162	4779	24544
163	4796	24450
164	4824	24414
165	4842	24326
166	4875	24319
167	4905	24295
168	4929	24240
169	4954	24188
170	4991	24197
171	5011	24126
172	5038	24085
173	5055	24000
174	5080	23950
175	5099	23875
176	5131	23858
177	5150	23782
178	5179	23754
179	5198	23682
180	5226	23650
181	5247	23583
182	5276	23554
183	5315	23575
184	5361	23618
185	5397	23622
186	5418	23556
187	5450	23543
188	5476	23497
189	5496	23434
190	5529	23420
191	5564	23417
192	5597	23407
193	5622	23358
194	5654	23344
195	5675	23279
196	5709	23271
197	5728	23201
198	5758	23177
199	5783	23133
200	5804	23073
201	5833	23044
202	5857	22995
203	5887	22973
204	5917	22949
205	5939	22894
206	5972	22881
207	5996	22834
208	6021	22788
209	6042	22732
210	6083	22748
211	6118	22740
212	6154	22738
213	6178	22692
214	6209	22672
215	6264	22737
216	6282	22669
217	6308	22629
218	6362	22691
219	6385	22640
220	6427	22654
221	6448	22600
222	6505	22667
223	6525	22604
224	6571	22634
225	6600	22605
226	6625	22563
227	6651	22522
228	6680	22493
229	6699	22427
230	6717	22363
231	6737	22302
232	6757	22244
233	6782	22202
234	6807	22159
235	6836	22131
236	6861	22090
237	6880	22029
238	6902	21978
239	6921	21919
240	6953	21899
241	6972	21838
242	6999	21805
243	7029	21781
244	7048	21721
245	7076	21689
246	7103	21654
247	7138	21644
248	7166	21614
249	7189	21567
250	7211	21518
251	7246	21510
252	7263	21445
253	7288	21407
254	7306	21347
255	7331	21306
256	7350	21250
257	7374	21209
258	7396	21161
259	7431	21150
260	7450	21096
261	7476	21058
262	7495	21005
263	7522	20971
264	7541	20918
265	7563	20871
266	7590	20838
267	7648	20890
268	7692	20904
269	7728	20896
270	7775	20915
271	7803	20885
272	7841	20883
273	7894	20918
274	7933	20916
275	7988	20954
276	8016	20924
277	8041	20884
278	8082	20886
279	8125	20895
280	8149	20851
281	8184	20839
282	8204	20786
283	8253	20807
284	8302	20828
285	8350	20847
286	8376	20809
287	8415	20806
288	8461	20818
289	8510	20835
290	8545	20820
291	8600	20852
292	8650	20872
293	8695	20881
294	8729	20862
295	8773	20867
296	8811	20857
297	8831	20805
298	8877	20812
299	8912	20796
300	8942	20767
301	8964	20720
302	8985	20669
303	9021	20654
304	9042	20603
305	9068	20567
306	9090	20519
307	9124	20499
308	9145	20450
309	9167	20406
310	9196	20375
311	9216	20323
312	9252	20307
313	9278	20270
314	9314	20255
315	9333	20203
316	9372	20193
317	9407	20176
318	9434	20139
319	9454	20089
320	9483	20060
321	9500	20004
322	9531	19978
323	9552	19930
324	9593	19924
325	9611	19872
326	9644	19848
327	9669	19810
328	9700	19783
329	9728	19751
330	9749	19704
331	9783	19684
332	9809	19648
333	9832	19607
334	9856	19566
335	9882	19530
336	9901	19479
337	9928	19446
338	9946	19393
339	9973	19360
340	9992	19310
341	10034	19306
342	10055	19261
343	10082	19226
344	10099	19173
345	10124	19137
346	10151	19104
347	10176	19066
348	10194	19016
349	10217	18974
350	10243	18940
351	10266	18899
352	10298	18876
353	10316	18826
354	10342	18790
355	10359	18740
356	10383	18701
357	10400	18651
358	10425	18615
359	10444	18568
360	10476	18543
361	10496	18499
362	10517	18455
363	10534	18406
364	10563	18378
365	10592	18348
366	10611	18303
367	10633	18261
368	10649	18211
369	10672	18171
370	10693	18130
371	10722	18102
372	10741	18055
373	10766	18020
374	10782	17971
375	10809	17939
376	10829	17895
377	10853	17858
378	10886	17837
379	10918	17814
380	10937	17769
381	10957	17727
382	10974	17679
383	11002	17650
384	11018	17600
385	11039	17559
386	11056	17513
387	11084	17483
388	11106	17445
389	11132	17412
390	11151	17369
391	11177	17337
392	11194	17290
393	11219	17255
394	11235	17208
395	11257	17170
396	11280	17134
397	11312	17110
398	11330	17066
399	11356	17034
400	11374	16991
401	11403	16962
402	11425	16925
403	11447	16887
404	11481	16867
405	11501	16826
406	11528	16796
407	11555	16766
408	11574	16724
409	11593	16683
410	11614	16644
411	11641	16615
412	11660	16572
413	11681	16534
414	11709	16505
415	11738	16479
416	11761	16443
417	11787	16411
418	11802	16365
419	11837	16346
420	11866	16320
421	11888	16282
422	11918	16257
423	11940	16221
424	11979	16206
425	12008	16181
426	12027	16140
427	12058	16115
428	12083	16083
429	12102	16043
430	12125	16008
431	12146	15970
432	12175	15943
433	12194	15902
434	12227	15881
435	12244	15839
436	12271	15810
437	12293	15774
438	12325	15751
439	12343	15709
440	12376	15687
441	12408	15665
442	12432	15632
443	12451	15591
444	12494	15582
445	12546	15584
446	12571	15552
447	12589	15511
448	12622	15490
449	12660	15474
450	12692	15450
451	12737	15443
452	12756	15403
453	12794	15386
454	12815	15350
455	12863	15345
456	12893	15319
457	12921	15291
458	12955	15269
459	12993	15252
460	13021	15224
461	13043	15189
462	13074	15164
463	13101	15134
464	13140	15118
465	13166	15088
466	13210	15077
467	13231	15040
468	13251	15003
469	13283	14979
470	13308	14947
471	13348	14932
472	13392	14921
473	13430	14904
474	13449	14865
475	13490	14850
476	13543	14849
477	13579	14829
478	13599	14791
479	13640	14777
480	13666	14745
481	13687	14709
482	13728	14695
483	13750	14659
484	13802	14656
485	13838	14635
486	13864	14604
487	13883	14566
488	13917	14543
489	13943	14512
490	13965	14477
491	13982	14437
492	14002	14400
493	14027	14367
494	14048	14332
495	14075	14302
496	14092	14263
497	14118	14232
498	14147	14204
499	14166	14166
500	14189	14133
501	14206	14093
502	14230	14060
503	14247	14021
504	14270	13987
505	14288	13949
506	14311	13916
507	14336	13884
508	14362	13854
509	14380	13816
510	14404	13784
511	14426	13750
512	14448	13716
513	14475	13686
514	14493	13648
515	14518	13617
516	14540	13584
517	14572	13559
518	14597	13528
519	14632	13507
520	14648	13467
521	14677	13439
522	14693	13400
523	14726	13377
524	14747	13342
525	14792	13330
526	14814	13296
527	14841	13267
528	14858	13229
529	14890	13204
530	14906	13166
531	14933	13136
532	14955	13103
533	14984	13076
534	15004	13041
535	15035	13016
536	15054	12979
537	15083	12953
538	15103	12918
539	15141	12898
540	15163	12865
541	15202	12846
542	15221	12810
543	15254	12786
544	15276	12753
545	15295	12717
546	15316	12684
547	15336	12650
548	15366	12623
549	15409	12607
550	15437	12579
551	15457	12544
552	15489	12520
553	15509	12485
554	15544	12463
555	15565	12429
556	15606	12412
557	15626	12377
558	15664	12357
559	15685	12324
560	15706	12290
561	15732	12261
562	15752	12226
563	15802	12215
564	15823	12182
565	15843	12148
566	15873	12122
567	15893	12088
568	15923	12061
569	15942	12026
570	15971	11999
571	15988	11963
572	16031	11946
573	16048	11910
574	16082	11886
575	16101	11852
576	16148	11838
577	16172	11807
578	16203	11782
579	16223	11748
580	16245	11715
581	16271	11686
582	16289	11651
583	16314	11621
584	16331	11585
585	16357	11556
586	16376	11522
587	16404	11494
588	16427	11462
589	16460	11438
590	16479	11404
591	16498	11370
592	16523	11340
593	16547	11309
594	16571	11279
595	16590	11245
596	16621	11220
597	16641	11186
598	16666	11157
599	16691	11127
600	16712	11095
601	16741	11068
602	16768	11040
603	16788	11006
604	16810	10975
605	16841	10949
606	16865	10919
607	16895	10893
608	16913	10859
609	16945	10833
610	16975	10807
611	16996	10775
612	17030	10751
613	17086	10741
614	17115	10714
615	17161	10697
616	17193	10672
617	17230	10650
618	17258	10622
619	17307	10607
620	17326	10574
621	17349	10543
622	17391	10524
623	17428	10501
624	17452	10471
625	17504	10458
626	17548	10439
627	17598	10424
628	17642	10406
629	17687	10387
630	17744	10376
631	17789	10358
632	17845	10346
633	17891	10328
634	17922	10301
635	17943	10269
636	17975	10243
637	18000	10213
638	18042	10192
639	18061	10159
640	18104	10139
641	18137	10114
642	18172	10089
643	18192	10056
644	18221	10028
645	18246	9998
646	18289	9978
647	18337	9960
648	18379	9940
649	18401	9908
650	18443	9887
651	18485	9866
652	18526	9844
653	18561	9820
654	18584	9788
655	18624	9766
656	18678	9751
657	18722	9731
658	18745	9699
659	18782	9676
660	18822	9653
661	18846	9622
662	18885	9599
663	18905	9566
664	18924	9533
665	18952	9504
666	18972	9472
667	19011	9448
668	19034	9417
669	19063	9389
670	19083	9356
671	19104	9324
672	19132	9296
673	19153	9263
674	19188	9239
675	19208	9206
676	19257	9188
677	19277	9155
678	19309	9128
679	19332	9097
680	19351	9064
681	19377	9035
682	19399	9004
683	19430	8976
684	19452	8945
685	19488	8920
686	19512	8889
687	19534	8858
688	19565	8831
689	19583	8798
690	19610	8769
691	19631	8737
692	19663	8711
693	19698	8685
694	19723	8655
695	19754	8628
696	19790	8603
697	19824	8577
698	19850	8547
699	19872	8516
700	19896	8486
701	19933	8461
702	19955	8430
703	19983	8402
704	20001	8369
705	20025	8339
706	20047	8308
707	20096	8288
708	20123	8259
709	20145	8228
710	20172	8199
711	20193	8168
712	20229	8143
713	20247	8110
714	20288	8087
715	20320	8060
716	20340	8028
717	20367	7999
718	20402	7973
719	20438	7948
720	20457	7916
721	20492	7890
722	20516	7860
723	20545	7832
724	20580	7806
725	20599	7774
726	20627	7745
727	20646	7713
728	20681	7688
729	20710	7660
730	20737	7631
731	20759	7600
732	20794	7574
733	20816	7543
734	20849	7517
735	20868	7485
736	20899	7457
737	20916	7425
738	20953	7400
739	20975	7369
740	21007	7342
741	21027	7311
742	21045	7279
743	21067	7249
744	21095	7220
745	21145	7199
746	21167	7169
747	21203	7143
748	21226	7113
749	21256	7085
750	21273	7053
751	21301	7024
752	21322	6994
753	21347	6964
754	21378	6937
755	21415	6912
756	21441	6882
757	21472	6855
758	21503	6827
759	21524	6797
760	21555	6769
761	21574	6738
762	21605	6711
763	21625	6680
764	21665	6655
765	21687	6625
766	21724	6599
767	21741	6567
768	21777	6541
769	21795	6510
770	21824	6482
771	21844	6451
772	21876	6424
773	21893	6392
774	21933	6367
775	21952	6336
776	22008	6316
777	22037	6288
778	22074	6262
779	22096	6232
780	22130	6205
781	22171	6180
782	22194	6150
783	22215	6120
784	22242	6091
785	22261	6060
786	22293	6033
787	22354	6014
788	22414	5994
789	22442	5965
790	22494	5943
791	22525	5915
792	22569	5891
793	22602	5864
794	22644	5839
795	22665	5808
796	22711	5784
797	22737	5755
798	22781	5730
799	22822	5705
800	22845	5675
801	22884	5649
802	22906	5619
803	22951	5595
804	22978	5566
805	22997	5535
806	23042	5510
807	23080	5484
808	23101	5454
809	23138	5427
810	23157	5396
811	23202	5372
812	23234	5344
813	23264	5315
814	23306	5290
815	23341	5263
816	23367	5233
817	23399	5206
818	23419	5175
819	23469	5151
820	23490	5121
821	23536	5096
822	23557	5066
823	23595	5039
824	23613	5008
825	23649	4981
826	23675	4952
827	23695	4922
828	23725	4893
829	23749	4864
830	23789	4838
831	23806	4806
832	23832	4777
833	23852	4747
834	23873	4717
835	23907	4689
836	23928	4659
837	23958	4631
838	23978	4601
839	24027	4576
840	24055	4547
841	24076	4517
842	24112	4490
843	24134	4460
844	24170	4433
845	24201	4405
846	24223	4375
847	24241	4345
848	24261	4315
849	24282	4285
850	24318	4257
851	24340	4228
852	24370	4199
853	24394	4170
854	24417	4140
855	24454	4113
856	24476	4084
857	24502	4055
858	24530	4026
859	24552	3996
860	24586	3969
861	24611	3940
862	24631	3910
863	24666	3882
864	24700	3854
865	24717	3824
866	24761	3798
867	24780	3768
868	24805	3739
869	24828	3710
870	24857	3681
871	24881	3652
872	24911	3623
873	24940	3595
874	24965	3566
875	24986	3536
876	25009	3507
877	25029	3477
878	25056	3449
879	25075	3419
880	25094	3389
881	25120	3360
882	25139	3331
883	25165	3302
884	25186	3272
885	25215	3244
886	25243	3215
887	25266	3186
888	25300	3158
889	25335	3131
890	25365	3103
891	25385	3073
892	25417	3045
893	25455	3018
894	25497	2991
895	25530	2963
896	25550	2933
897	25581	2905
898	25602	2876
899	25647	2849
900	25665	2820
901	25699	2792
902	25727	2763
903	25746	2734
904	25773	2705
905	25790	2675
906	25815	2647
907	25835	2617
908	25866	2589
909	25883	2559
910	25916	2531
911	25933	2502
912	25967	2474
913	25997	2446
914	26017	2416
915	26052	2389
916	26070	2359
917	26101	2331
918	26125	2302
919	26155	2274
920	26174	2245
921	26204	2216
922	26225	2187
923	26245	2158
924	26268	2129
925	26286	2100
926	26318	2072
927	26336	2043
928	26358	2014
929	26377	1985
930	26404	1956
931	26426	1928
932	26446	1899
933	26472	1870
934	26491	1841
935	26530	1814
936	26554	1785
937	26596	1758
938	26642	1730
939	26671	1702
940	26692	1673
941	26714	1644
942	26743	1616
943	26761	1587
944	26791	1559
945	26810	1530
946	26839	1502
947	26860	1473
948	26885	1444
949	26904	1416
950	26927	1387
951	26948	1358
952	26982	1330
953	27002	1301
954	27039	1274
955	27068	1245
956	27107	1218
957	27171	1191
958	27246	1164
959	27334	1138
960	27356	1110
961	27417	1083
962	27443	1054
963	27467	1025
964	27511	997
965	27562	970
966	27664	944
967	27716	916
968	27743	887
969	27819	860
970	27854	831
971	27904	803
972	27934	775
973	28002	747
974	28083	720
975	28153	692
976	28201	663
977	28244	635
978	28271	606
979	28300	577
980	28363	549
981	28403	520
982	28448	491
983	28487	463
984	28510	434
985	28549	405
986	28569	376
987	28613	347
988	28653	318
989	28681	289
990	28748	261
991	28800	232
992	28836	203
993	28865	174
994	28884	145
995	28912	116
996	28928	87
997	28965	58
998	28983	29
999	29018	0
